client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0001_41,0,6,414,train,0.02688172087073326,4.135653495788574
f0008_45,0,6,419,train,0.03448275849223137,4.131030082702637
f0031_02,0,0,408,train,0.029972752556204796,4.132021427154541
f0032_27,0,4,279,train,0.043824702501297,4.134201526641846
f0046_20,0,8,425,train,0.03403141349554062,4.13593053817749
f0049_32,0,7,394,train,0.031073445454239845,4.140879154205322
f0050_10,0,6,314,train,0.03546099364757538,4.1201491355896
f0059_21,0,4,362,train,0.03999999910593033,4.168489933013916
f0060_43,0,7,304,train,0.032967034727334976,4.143241882324219
f0062_25,0,5,391,train,0.03418803587555885,4.140302658081055
f0085_01,0,9,370,train,0.021021021530032158,4.162327766418457
f0090_10,0,3,404,train,0.03030303120613098,4.135458469390869
f0098_33,0,8,367,train,0.03333333507180214,4.155773639678955
f0099_18,0,2,424,train,0.028871390968561172,4.133075714111328
f0103_28,0,4,357,train,0.015576324425637722,4.13730525970459
f0106_05,0,2,317,train,0.028070176020264626,4.1551618576049805
f0108_12,0,1,415,train,0.026809651404619217,4.161814212799072
f0128_00,0,9,333,train,0.03678929805755615,4.168648719787598
f0153_35,0,4,345,train,0.03548387065529823,4.132401943206787
f0192_22,0,8,361,train,0.03395061567425728,4.156001567840576
f0195_27,0,9,259,train,0.030042918398976326,4.178470134735107
f0214_05,0,2,349,train,0.03184713423252106,4.151182651519775
f0234_16,0,4,338,train,0.03618421033024788,4.133474349975586
f0235_17,0,1,311,train,0.04659498110413551,4.13086462020874
f0236_17,0,1,297,train,0.04494382068514824,4.138023376464844
f0237_46,0,5,313,train,0.02846975065767765,4.136473178863525
f0245_40,0,7,388,train,0.025787966325879097,4.166731834411621
f0262_15,0,8,378,train,0.029411764815449715,4.143994331359863
f0283_31,0,1,305,train,0.043795619159936905,4.1435089111328125
f0284_34,0,5,406,train,0.021917808800935745,4.13599967956543
f0285_23,0,6,51,train,0.04444444552063942,4.1490702629089355
f0289_10,0,5,465,train,0.019138755276799202,4.166608810424805
f0292_16,0,9,443,train,0.027638191357254982,4.142645835876465
f0294_18,0,3,133,train,0.05042016878724098,4.149859428405762
f0306_35,0,8,348,train,0.03194888308644295,4.141342639923096
f0309_42,0,7,336,train,0.03311258181929588,4.143849849700928
f0317_44,0,7,421,train,0.029100529849529266,4.132242679595947
f0341_00,0,8,238,train,0.0,4.144680500030518
f0347_04,0,4,150,train,0.0,4.150585174560547
f0351_22,0,0,377,train,0.03244837746024132,4.140556335449219
f0370_20,0,8,375,train,0.026706231757998466,4.160791397094727
f0380_37,0,0,345,train,0.04193548485636711,4.133313179016113
f0396_05,0,1,251,train,0.035555556416511536,4.147359848022461
f0425_42,0,6,227,train,0.053921569138765335,4.146329879760742
f0445_46,0,0,403,train,0.03038674034178257,4.129304885864258
f0456_45,0,9,374,train,0.0357142873108387,4.141268253326416
f0470_37,0,7,352,train,0.03481012582778931,4.133694648742676
f0474_10,0,5,231,train,0.02415458858013153,4.128681659698486
f0478_10,0,3,349,train,0.019108280539512634,4.149342060089111
f0479_35,0,5,366,train,0.036474164575338364,4.131266117095947
f0486_05,0,1,324,train,0.04467353969812393,4.133927822113037
f0499_10,0,3,296,train,0.04135338217020035,4.132326602935791
f0501_06,0,9,378,train,0.029411764815449715,4.132314682006836
f0502_09,0,3,394,train,0.033898305147886276,4.131945610046387
f0505_13,0,3,244,train,0.0502283088862896,4.1313605308532715
f0511_03,0,2,289,train,0.023076923564076424,4.130844593048096
f0531_48,0,8,286,train,0.046692606061697006,4.131025314331055
f0537_35,0,7,306,train,0.04363636299967766,4.122814178466797
f0545_49,0,1,332,train,0.02684563770890236,4.132915496826172
f0547_28,0,1,416,train,0.03475935757160187,4.128544807434082
f0549_39,0,5,347,train,0.035256411880254745,4.134548664093018
f0550_24,0,8,370,train,0.03303303197026253,4.130654335021973
f0553_03,0,7,289,train,0.015384615398943424,4.129872798919678
f0559_18,0,1,407,train,0.027322404086589813,4.131957530975342
f0564_43,0,4,292,train,0.04198473319411278,4.129786014556885
f0569_42,0,8,297,train,0.04494382068514824,4.128656387329102
f0572_15,0,4,367,train,0.027272727340459824,4.1301493644714355
f0582_44,0,1,143,train,0.0625,4.120006561279297
f0589_20,0,8,304,train,0.029304029420018196,4.161197185516357
f0607_27,0,5,345,train,0.03870967775583267,4.124837875366211
f0616_04,0,8,404,train,0.027548208832740784,4.135117530822754
f0618_44,0,3,380,train,0.03216374292969704,4.15817403793335
f0640_19,0,9,319,train,0.04181184619665146,4.130603313446045
f0649_22,0,8,299,train,0.03717472031712532,4.145755290985107
f0663_30,0,9,342,train,0.03908794745802879,4.131377220153809
f0664_26,0,4,248,train,0.03139013424515724,4.149235248565674
f0668_31,0,7,352,train,0.0284810122102499,4.137829303741455
f0697_31,0,1,372,train,0.038922157138586044,4.131746292114258
f0698_45,0,9,416,train,0.03475935757160187,4.128464698791504
f0730_41,0,6,369,train,0.021084336563944817,4.142509937286377
f0732_46,0,5,249,train,0.0357142873108387,4.156601905822754
f0733_34,0,9,362,train,0.03384615480899811,4.14592981338501
f0741_44,0,3,320,train,0.010416666977107525,4.135152816772461
f0751_28,0,4,261,train,0.05128205195069313,4.130430221557617
f0752_25,0,2,408,train,0.029972752556204796,4.139360427856445
f0770_45,0,3,368,train,0.03021148033440113,4.123232364654541
f0794_31,0,2,210,train,0.0634920671582222,4.126468658447266
f0821_44,0,0,320,train,0.03125,4.139226913452148
f0838_49,0,9,380,train,0.02631578966975212,4.1344313621521
f0858_32,0,4,250,train,0.04444444552063942,4.149803161621094
f0870_31,0,7,293,train,0.045627377927303314,4.141763210296631
f0884_29,0,1,293,train,0.04182509332895279,4.1416754722595215
f0885_39,0,1,325,train,0.02397260256111622,4.134347915649414
f0908_25,0,2,266,train,0.04184100404381752,4.125620365142822
f0909_04,0,2,268,train,0.02489626593887806,4.1271185874938965
f0916_49,0,0,299,train,0.04089219495654106,4.140366554260254
f0922_02,0,1,309,train,0.035971224308013916,4.1491169929504395
f0930_07,0,8,345,train,0.025806451216340065,4.147834777832031
f0937_01,0,6,156,train,0.05000000074505806,4.132690906524658
f0943_40,0,8,394,train,0.031073445454239845,4.1248393058776855
f0950_21,0,4,201,train,0.0555555559694767,4.125030040740967
f0969_31,0,8,126,train,0.02654867246747017,4.1452226638793945
f0995_43,0,3,191,train,0.07017543911933899,4.131930351257324
f0996_01,0,3,420,train,0.0317460335791111,4.130220413208008
f1002_33,0,9,194,train,0.04597701132297516,4.14045524597168
f1008_28,0,6,365,train,0.03963414579629898,4.123653411865234
f1022_17,0,9,275,train,0.044534411281347275,4.124349594116211
f1029_30,0,4,314,train,0.039007093757390976,4.128793716430664
f1035_22,0,7,131,train,0.09401709586381912,4.122846603393555
f1051_38,0,7,43,train,0.0,4.169604301452637
f1054_20,0,5,282,train,0.04743082821369171,4.122495651245117
f1062_28,0,1,320,train,0.0381944440305233,4.131217002868652
f1073_05,0,5,231,train,0.043478261679410934,4.1335978507995605
f1074_34,0,9,355,train,0.037617553025484085,4.133877754211426
f1084_48,0,1,179,train,0.06832297891378403,4.125479221343994
f1088_00,0,7,362,train,0.03076923079788685,4.128419876098633
f1094_42,0,9,220,train,0.05050504952669144,4.1369309425354
f1105_31,0,5,163,train,0.054794520139694214,4.138082504272461
f1109_36,0,3,319,train,0.04181184619665146,4.127235412597656
f1117_18,0,3,216,train,0.05154639109969139,4.132160186767578
f1124_24,0,0,377,train,0.03539822995662689,4.131383895874023
f1145_39,0,4,248,train,0.013452914543449879,4.140572547912598
f1156_23,0,1,274,train,0.03658536449074745,4.133854389190674
f1168_30,0,3,316,train,0.0211267601698637,4.136701583862305
f1203_10,0,5,301,train,0.04814814776182175,4.1286139488220215
f1206_36,0,2,310,train,0.04301075264811516,4.13563346862793
f1223_27,0,5,309,train,0.04316546767950058,4.128004550933838
f1231_36,0,6,334,train,0.03333333507180214,4.130703449249268
f1242_30,0,0,284,train,0.04313725605607033,4.138315677642822
f1246_39,0,1,319,train,0.038327526301145554,4.1386871337890625
f1259_08,0,2,278,train,0.03999999910593033,4.132004261016846
f1273_29,0,3,315,train,0.03180212154984474,4.126810073852539
f1283_24,0,0,265,train,0.03781512752175331,4.1356201171875
f1289_06,0,9,302,train,0.029520295560359955,4.135998725891113
f1290_49,0,8,261,train,0.03418803587555885,4.136551380157471
f1308_43,0,9,187,train,0.0476190485060215,4.127081871032715
f1330_35,0,1,282,train,0.043478261679410934,4.125854969024658
f1344_45,0,0,245,train,0.036363635212183,4.129281044006348
f1365_16,0,1,241,train,0.0555555559694767,4.127575397491455
f1372_35,0,3,344,train,0.03883495181798935,4.133188724517822
f1378_08,0,9,283,train,0.04330708831548691,4.126857280731201
f1380_34,0,9,290,train,0.04597701132297516,4.13658332824707
f1382_07,0,1,376,train,0.03254437819123268,4.126975059509277
f1385_36,0,6,327,train,0.03741496428847313,4.127819538116455
f1401_36,0,1,242,train,0.036866359412670135,4.144536972045898
f1405_35,0,5,275,train,0.04048582911491394,4.123834609985352
f1408_02,0,1,271,train,0.045267488807439804,4.12827205657959
f1410_19,0,0,27,train,0.0416666679084301,4.162254810333252
f1434_10,0,9,271,train,0.03703703731298447,4.135109901428223
f1444_03,0,0,340,train,0.03267974033951759,4.1320624351501465
f1459_30,0,3,222,train,0.04522613063454628,4.138722896575928
f1468_04,0,2,209,train,0.058510638773441315,4.13594913482666
f1472_37,0,1,387,train,0.03735632076859474,4.134673595428467
f1486_35,0,7,163,train,0.006849315017461777,4.13762092590332
f1500_25,0,3,143,train,0.046875,4.134108543395996
f1514_35,0,0,165,train,0.0810810774564743,4.118244647979736
f1530_18,0,0,71,train,0.1111111119389534,4.1200737953186035
f1532_16,0,8,165,train,0.06756756454706192,4.121912002563477
f1535_20,0,6,156,train,0.06428571790456772,4.128136157989502
f1539_20,0,9,176,train,0.0569620244204998,4.126924514770508
f1547_06,0,1,169,train,0.08552631735801697,4.121852397918701
f1551_34,0,4,170,train,0.07189542800188065,4.125328063964844
f1589_38,0,1,166,train,0.08724832534790039,4.119636058807373
f1598_49,0,3,93,train,0.0602409653365612,4.117157936096191
f1606_19,0,1,152,train,0.08088235557079315,4.121522426605225
f1625_05,0,4,28,train,0.1599999964237213,4.107278823852539
f1641_09,0,5,147,train,0.06060606241226196,4.125243663787842
f1670_20,0,6,171,train,0.0784313753247261,4.126244068145752
f1686_01,0,2,113,train,0.049504950642585754,4.136795997619629
f1706_39,0,0,151,train,0.0962962955236435,4.114833354949951
f1707_05,0,8,142,train,0.04724409431219101,4.141936779022217
f1714_49,0,7,164,train,0.06802721321582794,4.130039691925049
f1728_02,0,0,178,train,0.0625,4.13129997253418
f1732_28,0,9,173,train,0.07096774131059647,4.127155303955078
f1735_22,0,1,162,train,0.06896551698446274,4.121069431304932
f1739_23,0,6,179,train,0.08074533939361572,4.126589298248291
f1753_34,0,3,171,train,0.07189542800188065,4.126642227172852
f1765_33,0,4,168,train,0.07284767925739288,4.129342555999756
f1770_47,0,5,154,train,0.07246376574039459,4.1231303215026855
f1771_46,0,7,129,train,0.1034482792019844,4.114213943481445
f1772_12,0,9,120,train,0.1111111119389534,4.119168758392334
f1777_29,0,2,138,train,0.07258064299821854,4.123480319976807
f1786_08,0,3,126,train,0.0796460211277008,4.113119125366211
f1794_07,0,0,130,train,0.10256410390138626,4.116278648376465
f1796_21,0,2,150,train,0.08148147910833359,4.125363826751709
f1798_42,0,2,147,train,0.07575757801532745,4.1257004737854
f1804_32,0,5,136,train,0.07377049326896667,4.131279468536377
f1813_25,0,8,151,train,0.07407407462596893,4.123532295227051
f1828_25,0,4,119,train,0.10280373692512512,4.13181209564209
f1835_27,0,1,122,train,0.08256880939006805,4.121262550354004
f1842_34,0,9,169,train,0.05921052768826485,4.127835273742676
f1843_09,0,7,146,train,0.07633587718009949,4.125836372375488
f1850_16,0,2,124,train,0.09009008854627609,4.1048760414123535
f1860_06,0,0,95,train,0.0470588244497776,4.1394429206848145
f1864_10,0,7,162,train,0.08275862038135529,4.119602203369141
f1866_14,0,6,120,train,0.0833333358168602,4.119718551635742
f1874_36,0,9,174,train,0.06410256773233414,4.129247188568115
f1875_21,0,8,179,train,0.08074533939361572,4.118993759155273
f1890_28,0,4,163,train,0.07534246891736984,4.130562782287598
f1895_37,0,5,175,train,0.07006369531154633,4.129248142242432
f1901_07,0,6,153,train,0.09489051252603531,4.121894359588623
f1903_48,0,4,145,train,0.08461538702249527,4.119157791137695
f1912_13,0,2,147,train,0.09090909361839294,4.119338035583496
f1929_04,0,8,160,train,0.0833333358168602,4.119002342224121
f1947_49,0,0,161,train,0.0694444477558136,4.1224365234375
f1959_39,0,7,144,train,0.08527132123708725,4.114255428314209
f1986_20,0,1,165,train,0.06756756454706192,4.128126621246338
f1990_33,0,5,47,train,0.0,4.135782241821289
f2001_42,0,0,165,train,0.07432432472705841,4.122285842895508
f2027_41,0,8,34,train,0.0,4.143301010131836
f2058_01,0,4,150,train,0.07407407462596893,4.1161041259765625
f2059_42,0,2,79,train,0.07042253762483597,4.127768516540527
f2065_28,0,3,155,train,0.0791366919875145,4.1173787117004395
f2088_14,0,7,171,train,0.0784313753247261,4.123627662658691
